,Player,Movements,Times,In-FavorTiles,Heuristic,Actions expanded
0,PC1,D3,0.2732541561126709,4,3,430
1,PC2,C5,0.46436548233032227,3,0,568
2,PC1,E6,0.9341959953308105,5,3,1092
3,PC2,D2,1.3495616912841797,5,-2,1491
4,PC1,B5,1.5771963596343994,6,3,1774
5,PC2,F5,1.3959438800811768,5,0,1484
6,PC1,D1,2.781749725341797,9,7,2533
7,PC2,A5,4.492178201675415,7,-2,3358
8,PC1,C4,5.731734275817871,7,1,4348
9,PC2,E2,8.684066772460938,9,-4,5637
10,PC1,F3,9.213026285171509,8,1,7638
11,PC2,F1,7.2887749671936035,9,-2,6381
12,PC1,F2,10.456180095672607,9,1,7163
13,PC2,D7,7.111291408538818,10,-2,4684
14,PC1,A6,9.665512084960938,12,5,6612
15,PC2,C2,5.251880168914795,10,0,3174
16,PC1,B2,6.568924427032471,12,3,3822
17,PC2,B1,9.294189691543579,11,0,7245
18,PC1,A4,5.557650089263916,13,3,3955
19,PC2,A2,11.347694635391235,12,0,5610
20,PC1,B6,5.436918497085571,14,3,3170
21,PC2,G2,6.972914218902588,16,-6,3620
22,PC1,B3,4.330574035644531,12,-3,2938
23,PC2,C3,4.173452615737915,17,-6,2269
24,PC1,H2,11.752562284469604,16,3,7133
25,PC2,B4,16.698861360549927,16,-2,8589
26,PC1,F4,15.908253908157349,20,9,8262
27,PC2,H3,14.302422285079956,13,6,8735
28,PC1,A1,11.50368881225586,22,11,6906
29,PC2,H1,10.767964839935303,13,8,6119
30,PC1,C1,12.391786813735962,23,11,6529
31,PC2,B7,3.477395534515381,16,4,1750
32,PC1,A3,16.764397621154785,24,11,9000
33,PC2,E3,4.150589227676392,17,4,2419
34,PC1,A7,13.408839702606201,26,13,7594
35,PC2,G3,4.7234206199646,17,6,2799
36,PC1,C6,9.079422235488892,25,9,5594
37,PC2,G1,1.862830638885498,18,6,1151
38,PC1,G6,3.366507053375244,28,13,2540
39,PC2,G5,3.170921802520752,17,10,1577
40,PC1,G4,6.278385639190674,31,17,3742
41,PC2,E1,3.529513359069824,16,14,2217
42,PC1,D6,4.156529188156128,32,17,2669
43,PC2,H6,3.9947638511657715,18,12,2004
44,PC1,F7,4.703094482421875,32,15,4000
45,PC2,H5,2.9884727001190186,20,10,2503
46,PC1,H4,2.098900318145752,33,15,1788
47,PC2,C7,3.4377338886260986,22,8,2774
48,PC1,A8,3.695128917694092,32,11,2830
49,PC2,E8,1.3441548347473145,24,6,1324
50,PC1,G8,1.0124921798706055,32,9,925
51,PC2,F6,0.3239932060241699,25,6,226
52,PC1,E7,0.7231602668762207,39,21,495
53,PC2,C8,0.22673869132995605,21,16,210
54,PC1,G7,0.13800334930419922,39,19,130
55,PC2,F8,0.07896089553833008,24,12,65
56,PC1,D8,0.033679962158203125,40,19,26
57,PC2,H8,0.01768207550048828,26,10,9
58,PC1,H7,0.0040073394775390625,41,19,1
59,PC2,B8,0.003000020980834961,26,12,0
60,PC1,ND,0.0009996891021728516,38,12,0
